연도,학제,학교명,학교상태,본분교,시도,시군구,설립,주야구분,주소,우편번호,전화번호,팩스번호,홈페이지,입학정원,지원자,입학자
2020,대학교,강원대학교,기존,본교,강원,강원 춘천시,국립,주간,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",24341,033-250-6114,033-251-9556,www.kangwon.ac.kr/,2958 ,19346 ,3171 
2020,대학교,강원대학교,기존,제2캠퍼스,강원,강원 삼척시,국립,주간,"강원도 삼척시 중앙로 346 (교동, 강원대학교삼척캠퍼스)",25913,033-570-6114,033-572-8620,www.kangwon.ac.kr/,1529 ,6753 ,1614 
2020,일반대학원,강원대학교일반대학원,기존,본교,강원,강원 춘천시,국립,주간,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",24341,033-250-8991,033-259-5527,graduate.kangwon.ac.kr/index.php,841 ,1202 ,809 
2020,특수대학원,강원대학교 경영대학원,기존,본교,강원,강원 춘천시,국립,야간,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",24341,033-250-6102,033-259-5530,gsba.kangwon.ac.kr/,57 ,40 ,35 
2020,특수대학원,강원대학교교육대학원,기존,본교,강원,강원 춘천시,국립,야간+계절제,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",24341,033-250-6609,033-259-5590,edugradu.kangwon.ac.kr/,180 ,160 ,66 
2020,특수대학원,강원대학교 산업과학대학원,기존,제2캠퍼스,강원,강원 삼척시,국립,야간,"강원도 삼척시 중앙로 346 (교동, 강원대학교삼척캠퍼스)",25913,033-570-6502,033-570-6501,college.kangwon.ac.kr/industry/main.jsp,46 ,53 ,45 
2020,특수대학원,강원대학교산업대학원,기존,본교,강원,강원 춘천시,국립,야간,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",24341,033-250-6209,033-256-3566,gsi.kangwon.ac.kr/,62 ,26 ,23 
2020,전문대학원,강원대학교법학전문대학원,기존,본교,강원,강원 춘천시,국립,주간,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",24341,033-250-6510,033-259-5683,law.kangwon.ac.kr/,40 ,205 ,41 
2020,전문대학원,강원대학교 의학전문대학원,기존,본교,강원,강원 춘천시,국립,주간,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",24341,033-250-8802,033-259-5635,smed.kangwon.ac.kr/smed/index.html,49 ,401 ,50 
2020,특수대학원,강원대학교 정보과학ㆍ행정대학원,기존,본교,강원,강원 춘천시,국립,야간,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",24341,033-250-6809,033-259-5605,information.kangwon.ac.kr/,85 ,47 ,37 
2020,전문대학원,강원대학교 법무전문대학원,기존,본교,강원,강원 춘천시,국립,주간,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",24341,033-250-6510,033-241-6503,www.kangwonlaw.ac.kr/,0 ,0 ,0 
2020,전문대학원,강원대학교 방재전문대학원,기존,제2캠퍼스,강원,강원 삼척시,국립,주간,"강원도 삼척시 중앙로 346 (교동, 강원대학교삼척캠퍼스)",25913,033-570-6468,033-570-6301,college.kangwon.ac.kr/prevention/main.jsp,25 ,22 ,20 
2020,특수대학원,강원대학교 녹색생명산업정책대학원,기존,본교,강원,강원 춘천시,국립,야간,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",24341,033-250-6406,033-250-5556,glip.kangwon.ac.kr/,30 ,23 ,17 
2020,대학교,경북대학교,기존,본교,대구,대구 북구,국립,주간,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",41566,053-950-5114        ,,www.knu.ac.kr,4614 ,51120 ,5078 
2020,일반대학원,경북대학교 일반대학원,기존,본교,대구,대구 북구,국립,주간,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",41566,053-950-6003        ,,http://grad.knu.ac.kr,1761 ,2440 ,1770 
2020,특수대학원,경북대학교 경영대학원,기존,본교,대구,대구 북구,국립,야간,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",41566,053-950-5403        ,053-950-5405        ,http://cec.knu.ac.kr/main01.asp,120 ,180 ,130 
2020,특수대학원,경북대학교 교육대학원,기존,본교,대구,대구 북구,국립,야간,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",41566,053-950-6124        ,053-950-6801        ,http://gse.knu.ac.kr,270 ,589 ,200 
2020,특수대학원,경북대학교 국제대학원,기존,본교,대구,대구 북구,국립,야간,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",41566,053-950-5103     ,053-950-6101        ,http://gsis.knu.ac.kr,30 ,53 ,36 
2020,특수대학원,경북대학교 보건대학원,기존,본교,대구,대구 중구,국립,야간,"대구광역시 중구 국채보상로 680 (동인동2가, 경북대학교의과대학)",41944,053-420-4872,053-421-1695,http://health.knu.ac.kr,40 ,78 ,40 
2020,특수대학원,경북대학교 산업대학원,기존,본교,대구,대구 북구,국립,야간,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",41566,053-950-6143        ,053-958-5054        ,http://ind.knu.ac.kr,86 ,112 ,86 
2020,특수대학원,경북대학교 정책정보대학원,기존,본교,대구,대구 북구,국립,야간,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",41566,053-950-5203        ,053-950-5205        ,http://social.knu.ac.kr/HOME/coss/sub.htm?nav_code=cos1466989409,70 ,84 ,67 
2020,특수대학원,경북대학교 행정대학원,기존,본교,대구,대구 북구,국립,야간,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",41566,053-950-6128,053-950-5454        ,http://webbuild.knu.ac.kr/~gspa,70 ,60 ,44 
2020,특수대학원,경북대학교 과학기술대학원,기존,본교,경북,경북 상주시,국립,야간,"경상북도 상주시 경상대로 2559 (가장동, 경북대학교상주캠퍼스)",37224,054-530-1502,054-530-1590 ,http://seoksa.knu.ac.kr,59 ,47 ,34 
2020,전문대학원,경북대학교 법학전문대학원,기존,본교,대구,대구 북구,국립,주간,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",41566,053-950-5456,053-950-5455        ,http://lawschool.knu.ac.kr,130 ,434 ,134 
2020,특수대학원,경북대학교 수사과학대학원,기존,본교,대구,대구 중구,국립,야간,"대구광역시 중구 국채보상로 680 (동인동2가, 경북대학교의과대학)",41944,053-420-4886        ,053-422-4712       ,knu.ac.kr/wbbs/wbbs/contents/index.action?menu_url=edu/school04_02&menu_idx=41,30 ,127 ,31 
2020,전문대학원,경북대학교 의학전문대학원,폐교,본교,대구,대구 중구,국립,주간,"대구광역시 중구 국채보상로 680 (동인동2가, 경북대학교의과대학)",41944,053-420-4910   ,053-422-9195,http://med.knu.ac.kr,0 ,0 ,0 
2020,전문대학원,경북대학교 치의학전문대학원,폐교,본교,대구,대구 중구,국립,주간,"대구광역시 중구 달구벌대로 2177 (삼덕동2가, 경북대학교치의학전문대학원)",41940,053-660-6804,053-425-6025        ,http://dent.knu.ac.kr,0 ,0 ,0 
2020,특수대학원,경북대학교 농업생명융합대학원,기존,본교,대구,대구 북구,국립,야간,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",41566,053-950-5704        ,053-950-6701      ,http://www.knu.ac.kr,30 ,40 ,30 
2020,대학교,경상대학교,기존,본교,경남,경남 진주시,국립,주간,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",52828,055-772-0114,055-772-0359,"www.gnu.ac.kr		",3032 ,20272 ,3253 
2020,일반대학원,경상대학교 대학원,기존,본교,경남,경남 진주시,국립,주간,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",52828,055-772-0087       ,055-772-0089        ,graduate.gnu.ac.kr,705 ,967 ,703 
2020,특수대학원,경상대학교 경영대학원,기존,본교,경남,경남 진주시,국립,야간,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",52828,055-772-1504        ,055-772-1505        ,bizone.gnu.ac.kr,60 ,49 ,45 
2020,특수대학원,경상대학교 교육대학원,기존,본교,경남,경남 진주시,국립,야간,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",52828,055-772-2015        ,055-772-2119        ,gradedu.gnu.ac.kr,215 ,133 ,110 
2020,특수대학원,경상대학교 보건대학원,기존,본교,경남,경남 진주시,국립,야간,"경상남도 진주시 진주대로816번길 15 (주약동, 경상대학교간호대학)",52727,055-772-8208        ,055-772-8209        ,health.gnu.ac.kr,20 ,22 ,18 
2020,특수대학원,경상대학교 행정대학원,기존,본교,경남,경남 진주시,국립,야간,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",52828,055-772-1204  ,055-772-1219        ,padm.gnu.ac.kr,46 ,54 ,46 
2020,전문대학원,경상대학교 의학전문대학원,폐교,본교,경남,경남 진주시,국립,주간,"경상남도 진주시 진주대로816번길 15 (주약동, 경상대학교의학전문대학원)",52727,055-772-8008,055-772-8013        ,medicine.gnu.ac.kr,0 ,0 ,0 
2020,특수대학원,경상대학교 융합과학기술대학원,기존,본교,경남,경남 진주시,국립,야간,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",52828,055-772-1608        ,055-772-1619        ,sanup.gnu.ac.kr,56 ,94 ,73 
2020,특수대학원,경상대학교 항공우주특성화대학원,기존,본교,경남,경남 진주시,국립,주야간,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",52828,055-772-1608        ,055-772-1619        ,sgsae.gnu.ac.kr/main/,28 ,22 ,14 
2020,특수대학원,경상대학교 토지주택대학원,기존,본교,경남,경남 진주시,국립,야간,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",52828,055-772-1608,055-772-1619,lh.gnu.ac.kr,25 ,15 ,14 
2020,대학교,공주대학교,기존,본교,충남,충남 공주시,국립,주간,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",32588,041-850-8114        ,,http://www.kongju.ac.kr/,2730 ,21039 ,3153 
2020,일반대학원,공주대학교대학원,기존,본교,충남,충남 공주시,국립,주간,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",32588,041-850-8114        ,041-850-8410        ,host.kongju.ac.kr/graduate/main/,631 ,854 ,579 
2020,특수대학원,공주대학교경영행정대학원,기존,본교,충남,충남 공주시,국립,야간,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",32588,041-850-8352        ,041-850-8355        ,gbpa.kongju.ac.kr/main/main.php,43 ,43 ,41 
2020,특수대학원,공주대학교교육대학원,기존,본교,충남,충남 공주시,국립,야간+계절제,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",32588,041-850-8159        ,041-850-8165        ,host.kongju.ac.kr/grad/,242 ,649 ,227 
2020,특수대학원,공주대학교산업과학대학원,기존,본교,충남,충남 예산군,국립,야간,"충청남도 예산군 예산읍 대학로 54 (대회리, 공주대학교산업과학대학)",32439,041-330-1011,,gsis.kongju.ac.kr/,34 ,42 ,27 
2020,특수대학원,공주대학교특수교육대학원,기존,본교,충남,충남 공주시,국립,야간,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",32588,041-850-8409        ,041-850-8410        ,special.kongju.ac.kr/main/index.action,70 ,184 ,70 
2020,특수대학원,공주대학교 안보과학대학원,기존,본교,충남,충남 공주시,국립,야간,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",32588,041-850-8166        ,041-850-8410        ,ss.kongju.ac.kr/main/index.action,0 ,7 ,6 
2020,특수대학원,공주대학교 문화유산대학원,기존,본교,충남,충남 공주시,국립,야간,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",32588,041-850-8141,041-850-8410        ,heritage.kongju.ac.kr/main/index.action,30 ,30 ,27 
2020,특수대학원,공주대학교 테크노융합대학원,기존,본교,충남,충남 천안시,국립,야간,"충청남도 천안시 서북구 천안대로 1223-24 (부대동, 공주대학교천안공과대학)",31080,041-521-9078,041-521-9079,technology.kongju.ac.kr,29 ,48 ,32 
2020,특수대학원,공주대학교 국가사회안전대학원,신설,본교,충남,충남 공주시,국립,야간,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",32588,041-850-8166,,ss.kongju.ac.kr/main/index.action,40 ,42 ,31 
2020,대학교,군산대학교,기존,본교,전북,전북 군산시,국립,주간,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)",54150,063-469-4113        ,,www.kunsan.ac.kr/index.kunsan,1735 ,8707 ,1881 
2020,일반대학원,군산대학교대학원,기존,본교,전북,전북 군산시,국립,주간,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)",54150,063-469-4171        ,,www.kunsan.ac.kr/index.kunsan,218 ,408 ,296 
2020,특수대학원,군산대학교경영행정대학원,기존,본교,전북,전북 군산시,국립,야간,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)",54150,063-469-4447        ,,www.kunsan.ac.kr/index.kunsan,30 ,17 ,13 
2020,특수대학원,군산대학교교육대학원,기존,본교,전북,전북 군산시,국립,야간,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)",54150,063-469-4306        ,   ,www.kunsan.ac.kr/index.kunsan,162 ,85 ,61 
2020,특수대학원,군산대학교산업대학원,기존,본교,전북,전북 군산시,국립,야간,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)",54150,063-469-4675        ,,www.kunsan.ac.kr/index.kunsan,50 ,43 ,38 
2020,대학교,금오공과대학교,기존,본교,경북,경북 구미시,국립,주야간,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)",39177,054-478-7114        ,054-478-7100        ,www.kumoh.ac.kr,1206 ,7283 ,1310 
2020,일반대학원,금오공과대학교대학원,기존,본교,경북,경북 구미시,국립,주간,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)",39177,054-478-7014,054-478-7020        ,cam.kumoh.ac.kr,204 ,218 ,159 
2020,특수대학원,금오공과대학교교육대학원,기존,본교,경북,경북 구미시,국립,야간,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)",39177,054-478-7014,054-478-7020        ,edu.kumoh.ac.kr,50 ,12 ,9 
2020,특수대학원,금오공과대학교산업대학원,기존,본교,경북,경북 구미시,국립,야간,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)",39177,054-478-7014,054-478-7020        ,tec.kumoh.ac.kr,78 ,67 ,48 
2020,특수대학원,금오공과대학교 컨설팅대학원,기존,본교,경북,경북 구미시,국립,주간,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)",39177,054-478-7016,054-478-7020        ,con.kumoh.ac.kr,32 ,21 ,17 
2020,대학교,목포대학교,기존,본교,전남,전남 무안군,국립,주간,"전라남도 무안군 청계면 영산로 1666 (도림리, 목포대학교)",58554,061-450-2114        ,061-452-4793        ,www.mokpo.ac.kr,1576 ,9441 ,1784 
2020,일반대학원,목포대학교대학원,기존,본교,전남,전남 무안군,국립,주간,"전라남도 무안군 청계면 영산로 1666 (도림리, 목포대학교)",58554,061-450-2114        ,061-452-4793        ,www.mokpo.ac.kr,297 ,282 ,233 
2020,특수대학원,목포대학교경영행정대학원,기존,본교,전남,전남 무안군,국립,야간,"전라남도 무안군 삼향읍 남악로 190 (남악리, 목포대학교교육지원센타)",58579,061-450-2114        ,061-452-4793        ,www.mokpo.ac.kr,50 ,50 ,41 
2020,특수대학원,목포대학교 교육대학원,기존,본교,전남,전남 무안군,국립,주간,"전라남도 무안군 청계면 영산로 1666 (도림리, 목포대학교)",58554,061-450-2114        ,061-452-4793        ,www.mokpo.ac.kr,170 ,151 ,96 
2020,특수대학원,목포대학교산업기술대학원,기존,본교,전남,전남 무안군,국립,야간,"전라남도 무안군 청계면 영산로 1666 (도림리, 목포대학교)",58554,061-450-2114        ,061-452-4793        ,www.mokpo.ac.kr,26 ,20 ,18 
2020,대학교,목포해양대학교,기존,본교,전남,전남 목포시,국립,주간,"전라남도 목포시 해양대학로 91 (죽교동, 목포해양대학교)",58628,061-240-7114        ,061-240-7853,www.mmu.ac.kr,691 ,2966 ,738 
2020,일반대학원,목포해양대학교대학원,기존,본교,전남,전남 목포시,국립,주간,"전라남도 목포시 해양대학로 91 (죽교동, 목포해양대학교)",58628,061-240-7114        ,061-242-5176        ,www.mmu.ac.kr,51 ,64 ,48 
2020,특수대학원,목포해양대학교해양산업대학원,기존,본교,전남,전남 목포시,국립,야간,"전라남도 목포시 해양대학로 91 (죽교동, 목포해양대학교)",58628,061-240-7114        ,061-242-5176        ,www.mmu.ac.kr,12 ,5 ,3 
2020,대학교,부경대학교,기존,본교,부산,부산 남구,국립,주야간,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",48513,051-629-4114        ,051-629-5119 ,www.pknu.ac.kr,3270 ,25201 ,3680 
2020,일반대학원,부경대학교대학원,기존,본교,부산,부산 남구,국립,주간,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",48513,051-629-5191 ,051-629-5195,graduate.pknu.ac.kr,717 ,1008 ,724 
2020,특수대학원,부경대학교 경영대학원,기존,본교,부산,부산 남구,국립,야간,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",48513,051-629-5705,051-629-5710,cms.pknu.ac.kr/cbais/main.do,130 ,122 ,80 
2020,특수대학원,부경대학교 교육대학원,기존,본교,부산,부산 남구,국립,야간,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",48513,051-629-5508,051-629-5514        ,pknuedu.pknu.ac.kr,200 ,213 ,126 
2020,특수대학원,부경대학교 국제대학원,폐교,본교,부산,부산 남구,국립,야간,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",48513,,,cms.pknu.ac.kr/gsis,0 ,0 ,0 
2020,특수대학원,부경대학교 산업대학원,기존,본교,부산,부산 남구,국립,야간,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",48513,051-629-6047,,coe.pknu.ac.kr/sandae/index/index.asp,86 ,97 ,79 
2020,전문대학원,부경대학교 기술경영전문대학원,기존,본교,부산,부산 남구,국립,주간,"부산광역시 남구 신선로 365 (용당동, 부경대학교용당캠퍼스)",48547,051-629-5656,051-629-5659,mot.pknu.ac.kr,39 ,63 ,52 
2020,특수대학원,부경대학교 글로벌수산대학원,기존,본교,부산,부산 남구,국립,주야간,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",48513,051-629-5806       ,5810,gsgf-k.pknu.ac.kr/00main/main.php,28 ,39 ,36 
2020,전문대학원,부경대학교 과학기술융합전문대학원,폐교,본교,부산,부산 남구,국립,주간,"부산광역시 남구 신선로 365 (용당동, 부경대학교용당캠퍼스)",48547,051-629-6862,051-629-6865,cms.pknu.ac.kr/sgsstc/main.do,0 ,0 ,0 
2020,특수대학원,부경대학교 세계수산대학원,기존,본교,부산,부산 남구,국립,주간,"부산광역시 남구 신선로 365 (용당동, 부경대학교용당캠퍼스)",48547,051-629-6679,051-629-6677,wfu.pknu.ac.kr,3 ,148 ,30 
2020,특수대학원,부경대학교 글로벌정책대학원,학교명 변경,본교,부산,부산 남구,국립,야간,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",48513,,,cms.pknu.ac.kr/gsis,70 ,64 ,43 
2020,대학교,부산대학교,기존,본교,부산,부산 금정구,국립,주간,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",46241,051-512-0311        ,051-512-3368        ,www.pusan.ac.kr,4181 ,47263 ,4516 
2020,일반대학원,부산대학교 일반대학원,기존,본교,부산,부산 금정구,국립,주간,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",46241,051-510-1902      ,051-515-1902     ,graduate.pusan.ac.kr/graduate/index.do,2173 ,3339 ,2072 
2020,특수대학원,부산대학교 경영대학원,기존,본교,부산,부산 금정구,국립,야간,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",46241,051-510-1652,051-514-1652,cobman.pusan.ac.kr,172 ,178 ,178 
2020,특수대학원,부산대학교 교육대학원,기존,본교,부산,부산 금정구,국립,야간,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",46241,051-510-1382        ,051-510-7672       ,www.gsedu.pusan.ac.kr,330 ,647 ,306 
2020,특수대학원,부산대학교 금융대학원,기존,본교,부산,부산 금정구,국립,주간,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",46241,051-510-1093,051-510-1099,http://his.pusan.ac.kr/gsf/index..do,25 ,36 ,25 
2020,특수대학원,부산대학교 산업대학원,기존,본교,부산,부산 금정구,국립,야간,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",46241,051-510-1391       ,051-514-0498        ,indu.pusan.ac.kr,108 ,93 ,68 
2020,특수대학원,부산대학교 행정대학원,기존,본교,부산,부산 금정구,국립,야간,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",46241,051-514-0480     ,051-515-6336        ,gspa.pusan.ac.kr,103 ,93 ,93 
2020,특수대학원,부산대학교 환경대학원,기존,본교,부산,부산 금정구,국립,야간,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",46241,051-510-1391   ,051-514-0498        ,pegr.pusan.ac.kr/pegr/index.do,21 ,20 ,12 
2020,전문대학원,부산대학교 한의학전문대학원,기존,본교,경남,경남 양산시,국립,주간,"경상남도 양산시 물금읍 부산대학로 49 (범어리, 부산대학교양산캠퍼스)",50612,051-510-8403        ,051-510-8420        ,kmed.pusan.ac.kr,63 ,577 ,58 
2020,전문대학원,부산대학교 국제전문대학원,기존,본교,부산,부산 금정구,국립,주간,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",46241,051-510-1663        ,051-581-7144        ,www.gsis.pusan.ac.kr,66 ,122 ,70 
2020,전문대학원,부산대학교 법학전문대학원,기존,본교,부산,부산 금정구,국립,주간,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",46241,051-510-1574        ,051-515-8648        ,law.pusan.ac.kr,128 ,424 ,137 
2020,전문대학원,부산대학교 의학전문대학원,폐교,본교,경남,경남 양산시,국립,주간,"경상남도 양산시 물금읍 부산대학로 49 (범어리, 부산대학교양산캠퍼스)",50612,051-510-8004        ,051-510-8026        ,https://medicine.pusan.ac.kr/medicine/index.do,0 ,0 ,0 
2020,전문대학원,부산대학교 치의학전문대학원,기존,본교,경남,경남 양산시,국립,주간,"경상남도 양산시 물금읍 부산대학로 49 (범어리, 부산대학교양산캠퍼스)",50612,051-510-8206        ,051-510-8210        ,dent.pusan.ac.kr,87 ,1149 ,84 
2020,특수대학원,부산대학교 경제통상대학원,기존,본교,부산,부산 금정구,국립,주야간,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",46241,051-510-1654,051-510-7670,geit.pusan.ac.kr,57 ,40 ,31 
2020,특수대학원,부산대학교 기술창업대학원,기존,본교,부산,부산 금정구,국립,야간,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",46241,051-510-1369,051-582-9833,technoent.pusan.ac.kr/technoent/index.do,27 ,53 ,29 
2020,대학교,서울대학교,기존,본교,서울,서울 관악구,국립대법인,주간,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)",8826,02-880-5114         ,02-885-5272         ,www.snu.ac.kr,3130 ,21379 ,3378 
2020,일반대학원,서울대학교 대학원,기존,본교,서울,서울 관악구,국립대법인,주간,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)",8826,02-880-5114         ,02-885-5272         ,http://www.snu.ac.kr/graduate-school,4260 ,6563 ,3811 
2020,전문대학원,서울대학교 국제대학원,기존,본교,서울,서울 관악구,국립대법인,주간,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)",8826,02-880-8505         ,02-879-1496   ,gsis.snu.ac.kr,80 ,295 ,153 
2020,전문대학원,서울대학교 보건대학원,기존,본교,서울,서울 관악구,국립대법인,주야간,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)",8826,02-880-2703,02-762-9105         ,health.snu.ac.kr,96 ,243 ,101 
2020,전문대학원,서울대학교 행정대학원,기존,본교,서울,서울 관악구,국립대법인,주야간,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)",8826,02-880-5603         ,02-882-3998         ,gspa.snu.ac.kr,149 ,428 ,246 
2020,전문대학원,서울대학교 환경대학원,기존,본교,서울,서울 관악구,국립대법인,주간,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)",8826,02-880-5642         ,02-886-7935         ,gses.snu.ac.kr,88 ,138 ,95 
2020,전문대학원,서울대학교 경영전문대학원,기존,본교,서울,서울 관악구,국립대법인,주간,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)",8826,02-880-2551,02-878-0101,gsb.snu.ac.kr,100 ,252 ,153 
2020,전문대학원,서울대학교 법학전문대학원,기존,본교,서울,서울 관악구,국립대법인,주간,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)",8826,02-880-7536,02-880-5560,law.snu.ac.kr,170 ,630 ,173 
2020,전문대학원,서울대학교 치의학대학원,기존,본교,서울,서울 종로구,국립대법인,주간,"서울특별시 종로구 대학로 103 (연건동, 서울대학교치과대학)",3080,02-740-8611         ,02-745-1907         ,dentistry.snu.ac.kr,90 ,414 ,89 
2020,전문대학원,서울대학교 의학대학원,폐교,본교,서울,서울 종로구,국립대법인,주간,"서울특별시 종로구 대학로 103 (연건동, 서울대학교 의과대학)",3080,02-740-8114         ,02-763-0962         ,medicine.snu.ac.kr,0 ,0 ,0 
